,Province_State,Date,value
6125,Telengana,07/08/20,
6126,Telengana***,07/08/20,
6127,Tripura,07/08/20,
6128,Unassigned,07/08/20,
6129,Uttar Pradesh,07/08/20,1.0
6130,Uttarakhand,07/08/20,12.0
6131,West Bengal,07/08/20,8.0
6132,Andaman and Nicobar Islands,07/09/20,
6133,Andhra Pradesh,07/09/20,9.0
6134,Arunachal Pradesh,07/09/20,25.0
6135,Assam,07/09/20,12.0
6136,Bihar,07/09/20,-7.0
6137,Cases being reassigned to states,07/09/20,
6138,Chandigarh,07/09/20,50.0
6139,Chhattisgarh,07/09/20,
6140,Dadar Nagar Haveli,07/09/20,
6141,Dadra and Nagar Haveli and Daman and Diu,07/09/20,
6142,Daman & Diu,07/09/20,
6143,Delhi,07/09/20,-5.0
6144,Goa,07/09/20,-0.0
6145,Gujarat,07/09/20,-3.0
6146,Haryana,07/09/20,-12.0
6147,Himachal Pradesh,07/09/20,-25.0
6148,Jammu and Kashmir,07/09/20,-7.0
6149,Jharkhand,07/09/20,11.0
6150,Karnataka,07/09/20,9.0
6151,Kerala,07/09/20,-8.0
6152,Ladakh,07/09/20,
6153,Madhya Pradesh,07/09/20,2.0
6154,Maharashtra,07/09/20,3.0
6155,Manipur,07/09/20,
6156,Meghalaya,07/09/20,
6157,Mizoram,07/09/20,
6158,Nagaland,07/09/20,
6159,Odisha,07/09/20,14.0
6160,Puducherry,07/09/20,50.0
6161,Punjab,07/09/20,2.0
6162,Rajasthan,07/09/20,1.0
6163,Sikkim,07/09/20,
6164,Tamil Nadu,07/09/20,1.0
6165,Telangana,07/09/20,6.0
6166,Telangana***,07/09/20,
6167,Telengana,07/09/20,
6168,Telengana***,07/09/20,
6169,Tripura,07/09/20,
6170,Unassigned,07/09/20,
6171,Uttar Pradesh,07/09/20,2.0
6172,Uttarakhand,07/09/20,40.0
6173,West Bengal,07/09/20,7.0
6174,Andaman and Nicobar Islands,07/10/20,
6175,Andhra Pradesh,07/10/20,4.0
6176,Arunachal Pradesh,07/10/20,-0.0
6177,Assam,07/10/20,40.0
6178,Bihar,07/10/20,3.0
6179,Cases being reassigned to states,07/10/20,
6180,Chandigarh,07/10/20,25.0
6181,Chhattisgarh,07/10/20,75.0
6182,Dadar Nagar Haveli,07/10/20,
6183,Dadra and Nagar Haveli and Daman and Diu,07/10/20,
6184,Daman & Diu,07/10/20,
6185,Delhi,07/10/20,-8.0
6186,Goa,07/10/20,-5.0
6187,Gujarat,07/10/20,-4.0
6188,Haryana,07/10/20,-2.0
6189,Himachal Pradesh,07/10/20,-50.0
6190,Jammu and Kashmir,07/10/20,-1.0
6191,Jharkhand,07/10/20,-3.0
6192,Karnataka,07/10/20,-2.0
6193,Kerala,07/10/20,-0.0
6194,Ladakh,07/10/20,
6195,Madhya Pradesh,07/10/20,1.0
6196,Maharashtra,07/10/20,-1.0
6197,Manipur,07/10/20,
6198,Meghalaya,07/10/20,75.0
6199,Mizoram,07/10/20,
6200,Nagaland,07/10/20,
6201,Odisha,07/10/20,10.0
6202,Puducherry,07/10/20,25.0
6203,Punjab,07/10/20,0.0
6204,Rajasthan,07/10/20,2.0
6205,Sikkim,07/10/20,
6206,Tamil Nadu,07/10/20,0.0
6207,Telangana,07/10/20,4.0
6208,Telangana***,07/10/20,
6209,Telengana,07/10/20,
6210,Telengana***,07/10/20,
6211,Tripura,07/10/20,
6212,Unassigned,07/10/20,
6213,Uttar Pradesh,07/10/20,1.0
6214,Uttarakhand,07/10/20,44.0
6215,West Bengal,07/10/20,6.0
6216,Andaman and Nicobar Islands,07/11/20,
6217,Andhra Pradesh,07/11/20,3.0
6218,Arunachal Pradesh,07/11/20,-25.0
6219,Assam,07/11/20,56.0
6220,Bihar,07/11/20,-6.0
6221,Cases being reassigned to states,07/11/20,
6222,Chandigarh,07/11/20,-0.0
6223,Chhattisgarh,07/11/20,67.0
6224,Dadar Nagar Haveli,07/11/20,
6225,Dadra and Nagar Haveli and Daman and Diu,07/11/20,
6226,Daman & Diu,07/11/20,
6227,Delhi,07/11/20,-10.0
6228,Goa,07/11/20,-30.0
6229,Gujarat,07/11/20,-6.0
6230,Haryana,07/11/20,-10.0
6231,Himachal Pradesh,07/11/20,-75.0
6232,Jammu and Kashmir,07/11/20,-6.0
6233,Jharkhand,07/11/20,-28.0
6234,Karnataka,07/11/20,3.0
6235,Kerala,07/11/20,-25.0
6236,Ladakh,07/11/20,
6237,Madhya Pradesh,07/11/20,-8.0
6238,Maharashtra,07/11/20,-1.0
6239,Manipur,07/11/20,
6240,Meghalaya,07/11/20,50.0
6241,Mizoram,07/11/20,
6242,Nagaland,07/11/20,
6243,Odisha,07/11/20,5.0
6244,Puducherry,07/11/20,45.0
6245,Punjab,07/11/20,1.0
6246,Rajasthan,07/11/20,1.0
6247,Sikkim,07/11/20,
6248,Tamil Nadu,07/11/20,1.0
6249,Telangana,07/11/20,4.0
6250,Telangana***,07/11/20,
6251,Telengana,07/11/20,
6252,Telengana***,07/11/20,
6253,Tripura,07/11/20,
6254,Unassigned,07/11/20,
6255,Uttar Pradesh,07/11/20,2.0
6256,Uttarakhand,07/11/20,19.0
6257,West Bengal,07/11/20,5.0
6258,Andaman and Nicobar Islands,07/12/20,
6259,Andhra Pradesh,07/12/20,7.0
6260,Arunachal Pradesh,07/12/20,-50.0
6261,Assam,07/12/20,48.0
6262,Bihar,07/12/20,14.0
6263,Cases being reassigned to states,07/12/20,
6264,Chandigarh,07/12/20,-25.0
6265,Chhattisgarh,07/12/20,42.0
6266,Dadar Nagar Haveli,07/12/20,
6267,Dadra and Nagar Haveli and Daman and Diu,07/12/20,
6268,Daman & Diu,07/12/20,
6269,Delhi,07/12/20,-8.0
6270,Goa,07/12/20,25.0
6271,Gujarat,07/12/20,-7.0
6272,Haryana,07/12/20,-5.0
6273,Himachal Pradesh,07/12/20,
6274,Jammu and Kashmir,07/12/20,8.0
6275,Jharkhand,07/12/20,-37.0
6276,Karnataka,07/12/20,14.0
6277,Kerala,07/12/20,12.0
6278,Ladakh,07/12/20,
6279,Madhya Pradesh,07/12/20,-12.0
6280,Maharashtra,07/12/20,4.0
6281,Manipur,07/12/20,
6282,Meghalaya,07/12/20,25.0
6283,Mizoram,07/12/20,
6284,Nagaland,07/12/20,
6285,Odisha,07/12/20,12.0
6286,Puducherry,07/12/20,29.0
6287,Punjab,07/12/20,11.0
6288,Rajasthan,07/12/20,-4.0
6289,Sikkim,07/12/20,
6290,Tamil Nadu,07/12/20,2.0
6291,Telangana,07/12/20,-0.0
6292,Telangana***,07/12/20,
6293,Telengana,07/12/20,
6294,Telengana***,07/12/20,
6295,Tripura,07/12/20,75.0
6296,Unassigned,07/12/20,
6297,Uttar Pradesh,07/12/20,7.0
6298,Uttarakhand,07/12/20,-6.0
6299,West Bengal,07/12/20,4.0
6300,Andaman and Nicobar Islands,07/13/20,
6301,Andhra Pradesh,07/13/20,12.0
6302,Arunachal Pradesh,07/13/20,-75.0
6303,Assam,07/13/20,23.0
6304,Bihar,07/13/20,21.0
6305,Cases being reassigned to states,07/13/20,
6306,Chandigarh,07/13/20,12.0
6307,Chhattisgarh,07/13/20,40.0
6308,Dadar Nagar Haveli,07/13/20,
6309,Dadra and Nagar Haveli and Daman and Diu,07/13/20,
6310,Daman & Diu,07/13/20,
6311,Delhi,07/13/20,-6.0
