,Province_State,Date,value
517,Pennsylvania,1/31/20,0
518,Rhode Island,1/31/20,0
519,South Carolina,1/31/20,0
520,South Dakota,1/31/20,0
521,Tennessee,1/31/20,0
522,Texas,1/31/20,0
523,Utah,1/31/20,0
524,Vermont,1/31/20,0
525,Virginia,1/31/20,0
526,Washington,1/31/20,0
527,West Virginia,1/31/20,0
528,Wisconsin,1/31/20,0
529,Wyoming,1/31/20,0
530,Alabama,2/1/20,0
531,Alaska,2/1/20,0
532,Arizona,2/1/20,0
533,Arkansas,2/1/20,0
534,California,2/1/20,0
535,Colorado,2/1/20,0
536,Connecticut,2/1/20,0
537,Delaware,2/1/20,0
538,Diamond Princess,2/1/20,0
539,District of Columbia,2/1/20,0
540,Florida,2/1/20,0
541,Georgia,2/1/20,0
542,Grand Princess,2/1/20,0
543,Hawaii,2/1/20,0
544,Idaho,2/1/20,0
545,Illinois,2/1/20,0
546,Indiana,2/1/20,0
547,Iowa,2/1/20,0
548,Kansas,2/1/20,0
549,Kentucky,2/1/20,0
550,Louisiana,2/1/20,0
551,Maine,2/1/20,0
552,Maryland,2/1/20,0
553,Massachusetts,2/1/20,0
554,Michigan,2/1/20,0
555,Minnesota,2/1/20,0
556,Mississippi,2/1/20,0
557,Missouri,2/1/20,0
558,Montana,2/1/20,0
559,Nebraska,2/1/20,0
560,Nevada,2/1/20,0
561,New Hampshire,2/1/20,0
562,New Jersey,2/1/20,0
563,New Mexico,2/1/20,0
564,New York,2/1/20,0
565,North Carolina,2/1/20,0
566,North Dakota,2/1/20,0
567,Ohio,2/1/20,0
568,Oklahoma,2/1/20,0
569,Oregon,2/1/20,0
570,Pennsylvania,2/1/20,0
571,Rhode Island,2/1/20,0
572,South Carolina,2/1/20,0
573,South Dakota,2/1/20,0
574,Tennessee,2/1/20,0
575,Texas,2/1/20,0
576,Utah,2/1/20,0
577,Vermont,2/1/20,0
578,Virginia,2/1/20,0
579,Washington,2/1/20,0
580,West Virginia,2/1/20,0
581,Wisconsin,2/1/20,0
582,Wyoming,2/1/20,0
583,Alabama,2/2/20,0
584,Alaska,2/2/20,0
585,Arizona,2/2/20,0
586,Arkansas,2/2/20,0
587,California,2/2/20,0
588,Colorado,2/2/20,0
589,Connecticut,2/2/20,0
590,Delaware,2/2/20,0
591,Diamond Princess,2/2/20,0
592,District of Columbia,2/2/20,0
593,Florida,2/2/20,0
594,Georgia,2/2/20,0
595,Grand Princess,2/2/20,0
596,Hawaii,2/2/20,0
597,Idaho,2/2/20,0
598,Illinois,2/2/20,0
599,Indiana,2/2/20,0
